pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
FF,2024-04-01,102.1,1.9,49.63,6.14,650556,500000,,ball,14,R,R,1,0,-7.92,11.77,-0.98,2.48,5.42,-118.52,12.41,0.04,20.0,32.12,97.0,2519,6.3,4-Seam Fastball,184,1,1,1,1,B,2024
FS,2024-04-01,95.0,1.99,50.21,5.89,650556,500001,strikeout,swinging_strike,8,L,R,3,2,-13.07,-7.24,0.29,1.76,-4.8,-129.23,-11.55,0.06,20.0,32.21,90.3,1383,6.1,Splitter,175,1,2,1,1,S,2024
FF,2024-04-01,101.1,2.08,49.96,5.96,650556,500002,,blocked_ball,13,R,R,0,2,-6.89,12.51,0.9,3.08,-4.33,-124.65,1.29,0.03,20.0,32.11,96.0,2303,6.1,4-Seam Fastball,220,2,1,1,0,X,2024
FS,2024-04-01,96.2,2.15,50.1,5.9,650556,500003,,ball,11,L,R,1,2,-12.09,-4.94,-1.62,2.15,4.85,-131.52,3.24,0.06,20.0,32.2,91.4,1439,6.0,Splitter,209,2,2,1,1,B,2024
FF,2024-04-01,102.3,1.98,50.38,5.86,650556,500004,,ball,4,R,R,2,0,-7.56,10.85,-0.59,2.1,-0.42,-135.68,1.04,0.04,20.0,32.12,97.2,2239,6.5,4-Seam Fastball,207,2,3,1,1,B,2024
FF,2024-04-01,100.4,1.74,49.78,5.82,650556,500005,single,hit_into_play,13,R,R,0,0,-6.38,13.75,0.68,3.57,3.24,-122.29,4.91,0.03,20.0,32.11,95.4,2350,6.3,4-Seam Fastball,190,2,4,1,2,X,2024
FS,2024-04-01,94.6,2.01,50.08,5.9,650556,500006,,ball,8,L,R,1,1,-13.74,-2.71,0.07,2.96,-0.26,-108.36,0.37,0.07,20.0,32.19,89.8,1415,6.3,Splitter,181,3,1,1,1,B,2024
FF,2024-04-01,101.1,1.98,50.59,5.91,650556,500007,,called_strike,13,L,R,2,1,-8.2,13.45,-1.3,1.91,-1.9,-115.21,8.21,0.04,20.0,32.11,96.0,2390,5.9,4-Seam Fastball,224,3,2,1,0,S,2024
FS,2024-04-01,93.4,2.01,49.88,5.83,650556,500008,single,hit_into_play,8,L,R,1,0,-11.82,-4.7,-0.19,2.11,7.2,-137.87,-8.65,0.06,20.0,32.2,88.7,1417,6.5,Splitter,233,3,3,1,1,X,2024
FF,2024-04-01,100.3,2.0,50.08,5.99,650556,500009,,foul_tip,3,L,R,0,1,-7.98,15.55,0.6,2.26,-9.7,-132.86,3.62,0.04,20.0,32.1,95.3,2161,6.4,4-Seam Fastball,197,4,1,1,0,S,2024
FS,2024-04-01,93.6,1.91,49.55,6.01,650556,500010,,foul,6,R,R,2,1,-11.68,-4.15,0.6,2.85,1.47,-144.77,-2.42,0.06,20.0,32.19,88.9,1452,6.7,Splitter,218,4,2,1,0,S,2024
FS,2024-04-01,93.1,1.93,49.99,5.84,650556,500011,,called_strike,13,R,R,0,1,-13.68,-4.41,1.12,1.55,6.64,-142.97,-3.5,0.07,20.0,32.2,88.4,1426,6.2,Splitter,234,4,3,1,1,S,2024
FF,2024-04-01,98.7,2.02,50.04,6.01,650556,500012,,blocked_ball,13,R,R,0,1,-9.53,10.6,-0.93,3.17,-1.74,-127.59,3.2,0.05,20.0,32.12,93.8,2217,6.1,4-Seam Fastball,192,4,4,1,1,X,2024
FF,2024-04-01,100.4,1.94,50.5,5.96,650556,500013,,called_strike,12,R,R,2,1,-8.35,13.37,1.13,1.53,-1.81,-111.44,-7.95,0.04,20.0,32.11,95.4,2425,6.3,4-Seam Fastball,180,4,5,1,2,S,2024
FS,2024-04-01,93.5,1.73,49.28,6.07,650556,500014,,ball,5,R,R,1,1,-15.84,-5.83,0.16,1.9,-8.77,-133.77,3.44,0.08,20.0,32.2,88.9,1361,6.4,Splitter,220,4,6,1,1,B,2024
