pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
FF,2022-04-01,99.1,2.02,49.71,6.1,650556,500000,,foul,14,L,R,0,1,-7.03,15.23,1.13,2.52,2.71,-124.05,-4.41,0.03,20.0,32.1,94.2,2421,6.0,4-Seam Fastball,201,1,1,1,1,S,2022
FS,2022-04-01,95.0,2.1,49.82,5.82,650556,500001,field_out,hit_into_play,2,R,R,0,0,-12.88,-6.67,-0.05,2.54,-4.96,-122.22,-1.57,0.06,20.0,32.21,90.3,1468,6.2,Splitter,229,1,2,1,2,X,2022
FF,2022-04-01,102.8,2.13,49.87,5.92,650556,500002,,ball,6,L,R,0,0,-9.14,14.78,-0.58,2.92,-1.88,-129.99,-1.68,0.04,20.0,32.1,97.6,2431,6.3,4-Seam Fastball,197,2,1,1,2,B,2022
FS,2022-04-01,94.2,2.04,50.35,5.78,650556,500003,,ball,12,R,R,2,0,-13.69,-3.74,-1.09,2.21,-6.15,-125.53,-0.1,0.07,20.0,32.19,89.5,1225,6.1,Splitter,211,2,2,1,2,B,2022
FS,2022-04-01,93.3,2.18,50.39,6.0,650556,500004,,foul,13,R,R,0,2,-12.58,-7.01,0.93,3.44,5.21,-127.3,-10.72,0.06,20.0,32.21,88.7,1441,5.9,Splitter,215,2,3,1,1,S,2022
FF,2022-04-01,100.8,2.04,49.78,5.94,650556,500005,,ball,13,R,R,0,1,-6.51,11.59,0.98,2.24,1.21,-130.42,-6.02,0.03,20.0,32.12,95.8,2238,5.6,4-Seam Fastball,201,2,4,1,1,B,2022
SL,2022-04-01,86.4,1.74,50.07,5.79,650556,500006,,ball,7,L,R,0,1,-3.04,1.58,-0.35,2.54,-0.22,-130.81,7.43,0.01,20.0,32.17,82.0,2738,6.0,Slider,107,2,5,1,0,B,2022
FS,2022-04-01,93.2,2.04,49.42,5.76,650556,500007,,ball,11,L,R,0,2,-11.93,-3.42,1.36,1.96,3.2,-116.59,-3.35,0.06,20.0,32.19,88.6,1273,6.1,Splitter,245,2,6,1,0,B,2022
FS,2022-04-01,94.2,2.06,50.16,5.96,650556,500008,,called_strike,4,L,R,0,1,-11.84,-3.93,-0.41,1.86,1.85,-134.54,2.19,0.06,20.0,32.19,89.5,1411,6.4,Splitter,218,2,7,1,0,S,2022
FS,2022-04-01,92.2,1.71,50.16,5.8,650556,500009,,ball,13,L,R,3,1,-9.57,-4.02,0.67,3.54,9.53,-140.81,1.26,0.05,20.0,32.19,87.6,1534,6.0,Splitter,192,2,8,1,0,B,2022
