pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
CH,2024-04-01,83.5,-2.22,49.55,5.44,650911,500000,grounded_into_double_play,hit_into_play,11,R,L,1,2,13.65,2.25,0.95,1.86,-5.66,-147.1,4.47,-0.07,20.0,32.16,79.3,1617,6.2,Changeup,254,1,1,1,2,X,2024
SI,2024-04-01,94.7,-2.21,50.21,5.46,650911,500001,field_out,hit_into_play,12,L,L,3,0,14.47,7.66,1.16,2.27,-2.06,-130.94,3.91,-0.07,20.0,32.14,89.9,2112,6.2,Sinker,218,2,1,1,0,X,2024
CH,2024-04-01,83.6,-2.6,50.39,5.37,650911,500002,,foul,6,L,L,3,0,14.91,-0.24,0.16,2.9,-0.29,-136.95,2.79,-0.07,20.0,32.18,79.4,1641,6.5,Changeup,225,3,1,1,2,S,2024
FF,2024-04-01,93.8,-2.41,49.55,5.58,650911,500003,,swinging_strike,3,R,L,3,0,8.98,15.35,0.09,2.76,2.95,-135.82,0.52,-0.04,20.0,32.1,89.1,2287,6.3,4-Seam Fastball,194,3,2,1,1,S,2024
SW,2024-04-01,80.1,-2.24,50.47,5.5,650911,500004,,ball,12,L,L,1,0,-4.28,0.54,-1.68,2.23,-5.07,-133.66,1.62,0.02,20.0,32.17,76.1,2621,6.4,Sweeper,107,3,3,1,2,B,2024
SW,2024-04-01,79.1,-2.04,50.08,5.84,650911,500005,strikeout,swinging_strike,14,R,L,3,2,-4.71,-0.26,-0.2,1.35,-7.12,-132.4,12.14,0.02,20.0,32.18,75.1,2588,6.2,Sweeper,99,3,4,1,2,S,2024
CH,2024-04-01,84.8,-2.24,50.55,5.42,650911,500006,,ball,3,L,L,0,1,12.44,3.7,0.37,2.82,9.35,-135.94,0.59,-0.06,20.0,32.16,80.5,1626,6.0,Changeup,245,4,1,1,1,B,2024
SI,2024-04-01,93.5,-2.29,50.66,5.62,650911,500007,,called_strike,3,R,L,2,2,15.93,8.4,0.16,2.58,-2.27,-123.62,-9.51,-0.08,20.0,32.13,88.8,2025,5.8,Sinker,209,4,2,1,2,S,2024
SW,2024-04-01,78.0,-2.12,49.56,5.6,650911,500008,,foul,1,L,L,0,1,-4.77,0.82,-0.59,2.07,0.07,-141.44,1.52,0.02,20.0,32.17,74.1,2451,6.3,Sweeper,120,4,3,1,2,S,2024
SW,2024-04-01,80.8,-2.27,49.94,5.65,650911,500009,,blocked_ball,13,L,L,0,0,-5.78,4.49,-1.74,2.47,0.98,-129.53,5.12,0.03,20.0,32.15,76.8,2711,6.0,Sweeper,73,4,4,1,0,X,2024
