pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
SL,2024-04-01,90.5,-1.83,49.4,5.59,669373,500000,,ball,11,R,L,2,2,2.25,2.84,1.07,2.51,3.42,-111.08,-2.41,-0.01,20.0,32.16,86.0,2541,6.3,Slider,84,1,1,1,0,B,2024
SL,2024-04-01,88.4,-2.09,49.9,5.83,669373,500001,,called_strike,12,L,L,2,1,2.55,3.42,0.91,2.24,-2.53,-132.31,-8.78,-0.01,20.0,32.16,84.0,2804,6.4,Slider,43,1,2,1,0,S,2024
SL,2024-04-01,88.9,-2.18,49.72,5.93,669373,500002,,ball,5,R,L,2,1,1.75,4.46,-0.26,1.96,-2.26,-136.81,-2.1,-0.01,20.0,32.15,84.4,2617,6.0,Slider,90,1,3,1,2,B,2024
FF,2024-04-01,97.0,-2.01,50.42,5.77,669373,500003,,ball,7,L,L,2,1,8.0,16.01,0.69,2.18,2.48,-136.75,-0.63,-0.04,20.0,32.1,92.2,2351,6.2,4-Seam Fastball,185,1,4,1,1,B,2024
FF,2024-04-01,97.2,-2.28,49.53,5.8,669373,500004,,ball,7,L,L,2,1,6.95,16.86,0.01,2.27,-4.28,-130.47,2.51,-0.03,20.0,32.09,92.3,2409,6.5,4-Seam Fastball,187,1,5,1,1,B,2024
SL,2024-04-01,86.4,-2.01,50.1,5.62,669373,500005,,ball,9,R,L,1,0,2.69,1.19,0.76,1.82,-1.88,-117.85,-0.94,-0.01,20.0,32.17,82.1,2570,6.3,Slider,77,1,6,1,0,B,2024
FF,2024-04-01,97.5,-1.99,50.29,5.77,669373,500006,,ball,11,R,L,0,1,8.03,16.18,-1.36,2.97,5.25,-141.01,-4.37,-0.04,20.0,32.1,92.6,2502,6.0,4-Seam Fastball,197,1,7,1,2,B,2024
FF,2024-04-01,96.3,-2.1,49.91,5.87,669373,500007,,foul,9,L,L,2,1,5.9,15.72,-0.55,2.43,4.43,-114.07,0.58,-0.03,20.0,32.1,91.5,2432,6.2,4-Seam Fastball,219,1,8,1,2,S,2024
SL,2024-04-01,86.7,-2.16,50.24,5.62,669373,500008,,ball,5,L,L,1,2,1.33,1.36,0.53,2.14,0.05,-147.56,6.09,-0.01,20.0,32.17,82.4,2671,6.2,Slider,70,2,1,1,2,B,2024
FF,2024-04-01,97.6,-2.09,49.68,5.77,669373,500009,,swinging_strike,6,R,L,2,0,7.64,16.33,-0.05,2.86,-2.87,-130.06,2.62,-0.04,20.0,32.1,92.7,2383,5.9,4-Seam Fastball,195,2,2,1,1,S,2024
FF,2024-04-01,97.0,-2.29,50.27,5.89,669373,500010,,swinging_strike,13,R,L,3,1,6.96,16.54,0.96,1.45,-0.27,-129.09,11.78,-0.03,20.0,32.09,92.2,2483,6.5,4-Seam Fastball,189,2,3,1,1,S,2024
FF,2024-04-01,97.0,-1.95,49.96,5.94,669373,500011,field_out,hit_into_play,2,R,L,2,1,5.74,15.32,-0.74,2.51,-2.06,-126.28,0.97,-0.03,20.0,32.1,92.2,2367,5.9,4-Seam Fastball,195,2,4,1,1,X,2024
SL,2024-04-01,86.8,-1.98,50.08,5.96,669373,500012,grounded_into_double_play,hit_into_play,1,R,L,0,2,1.44,5.29,-0.76,3.25,-3.11,-142.76,-4.73,-0.01,20.0,32.15,82.5,2471,6.3,Slider,74,3,1,1,2,X,2024
FF,2024-04-01,97.0,-2.12,50.33,5.84,669373,500013,,ball,13,L,L,1,0,5.61,18.34,-1.13,2.41,7.22,-129.77,-2.55,-0.03,20.0,32.09,92.2,2579,6.4,4-Seam Fastball,183,4,1,1,0,B,2024
