pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
SL,2020-04-01,89.0,-2.12,49.53,5.74,669373,500000,,foul,2,L,L,0,0,2.56,-0.89,-0.17,2.44,6.73,-139.27,-4.37,-0.01,20.0,32.18,84.6,2977,6.3,Slider,78,1,1,1,2,S,2020
SL,2020-04-01,86.5,-1.9,50.25,5.32,669373,500001,grounded_into_double_play,hit_into_play,3,R,L,1,0,0.16,3.64,0.04,2.26,-7.22,-127.91,-4.31,-0.0,20.0,32.16,82.2,2618,6.6,Slider,65,1,2,1,1,X,2020
FF,2020-04-01,96.1,-2.17,49.97,5.91,669373,500002,,blocked_ball,12,R,L,0,0,5.75,15.38,-0.84,2.82,6.8,-127.34,-9.96,-0.03,20.0,32.1,91.3,2389,5.9,4-Seam Fastball,204,2,1,1,2,X,2020
CH,2020-04-01,89.8,-2.41,50.45,5.97,669373,500003,,ball,3,R,L,1,0,11.06,6.36,0.34,1.6,6.37,-101.01,-4.13,-0.05,20.0,32.14,85.3,1651,6.1,Changeup,260,2,2,1,2,B,2020
SL,2020-04-01,86.9,-2.04,49.96,5.73,669373,500004,,called_strike,3,R,L,2,1,3.14,3.14,0.31,2.77,0.05,-126.32,1.44,-0.02,20.0,32.16,82.6,2600,6.4,Slider,69,2,3,1,1,S,2020
SL,2020-04-01,84.9,-1.9,50.29,5.73,669373,500005,grounded_into_double_play,hit_into_play,7,R,L,1,2,0.47,4.96,0.18,1.81,3.26,-146.76,0.67,-0.0,20.0,32.15,80.6,2786,6.4,Slider,79,2,4,1,0,X,2020
FF,2020-04-01,93.9,-2.15,49.83,5.88,669373,500006,,ball,12,R,L,3,0,5.18,14.64,1.44,2.58,-5.05,-140.82,-0.93,-0.02,20.0,32.1,89.2,2572,6.0,4-Seam Fastball,190,3,1,1,2,B,2020
FF,2020-04-01,96.0,-2.37,49.64,5.62,669373,500007,,ball,5,R,L,2,2,8.29,15.13,0.72,2.02,-1.0,-135.01,-6.54,-0.04,20.0,32.1,91.2,2416,6.3,4-Seam Fastball,190,3,2,1,2,B,2020
FF,2020-04-01,95.1,-2.17,50.13,5.76,669373,500008,,ball,13,R,L,1,1,8.7,15.61,-1.02,3.01,11.86,-131.71,-5.5,-0.04,20.0,32.1,90.3,2410,6.1,4-Seam Fastball,191,3,3,1,1,B,2020
FF,2020-04-01,97.4,-2.13,49.77,5.73,669373,500009,,called_strike,2,R,L,0,2,6.27,17.52,0.38,2.43,4.25,-142.21,3.96,-0.03,20.0,32.09,92.5,2489,5.9,4-Seam Fastball,207,3,4,1,1,S,2020
FF,2020-04-01,96.6,-1.96,49.93,5.75,669373,500010,,ball,4,L,L,1,0,5.19,14.64,0.62,3.08,3.05,-142.46,2.58,-0.02,20.0,32.1,91.8,2382,6.3,4-Seam Fastball,214,3,5,1,1,B,2020
SL,2020-04-01,85.0,-2.15,49.49,5.77,669373,500011,field_out,hit_into_play,2,L,L,2,1,1.71,3.13,-0.48,2.23,7.96,-113.98,-4.66,-0.01,20.0,32.16,80.7,2673,6.2,Slider,77,3,6,1,1,X,2020
SL,2020-04-01,86.7,-1.94,50.75,5.62,669373,500012,,called_strike,13,R,L,2,1,1.68,1.96,-0.96,1.93,-0.2,-124.17,10.22,-0.01,20.0,32.16,82.3,2477,6.0,Slider,72,4,1,1,1,S,2020
SL,2020-04-01,87.2,-2.13,49.77,5.64,669373,500013,,ball,13,R,L,2,0,0.78,3.79,1.14,3.19,1.24,-128.29,-5.25,-0.0,20.0,32.16,82.8,2641,6.5,Slider,72,4,2,1,2,B,2020
FF,2020-04-01,97.4,-2.09,50.35,5.87,669373,500014,,foul,5,R,L,3,0,6.69,15.65,-0.3,2.9,11.22,-143.98,1.69,-0.03,20.0,32.1,92.6,2237,6.5,4-Seam Fastball,188,4,3,1,0,S,2020
