pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
FF,2024-04-01,95.8,2.18,49.68,5.94,554430,500000,,ball,3,R,R,3,1,-6.2,14.67,-0.26,2.42,6.25,-145.77,-0.37,0.03,20.0,32.1,91.0,2223,6.2,4-Seam Fastball,217,1,1,1,1,B,2024
SL,2024-04-01,84.0,2.48,50.11,5.78,554430,500001,,swinging_strike,7,L,R,0,1,1.51,1.29,-0.51,2.66,8.93,-127.78,-3.1,-0.01,20.0,32.17,79.8,2620,6.0,Slider,45,1,2,1,0,S,2024
CU,2024-04-01,82.4,2.3,50.28,5.85,554430,500002,,ball,11,R,R,1,1,7.38,-7.42,-0.93,2.48,5.27,-122.54,3.86,-0.04,20.0,32.21,78.3,2971,6.5,Curveball,36,1,3,1,1,B,2024
CH,2024-04-01,89.1,2.52,49.87,5.8,554430,500003,,ball,11,R,R,2,1,-15.81,3.14,2.1,1.93,-1.33,-133.1,0.11,0.08,20.0,32.16,84.7,1686,6.1,Changeup,246,1,4,1,0,B,2024
SI,2024-04-01,93.8,2.26,49.76,6.04,554430,500004,,foul,13,R,R,1,1,-14.66,7.61,-1.73,3.11,-4.39,-147.06,2.08,0.07,20.0,32.14,89.1,1936,6.1,Sinker,204,1,5,1,2,S,2024
CH,2024-04-01,86.9,2.08,50.39,5.85,554430,500005,field_out,hit_into_play,1,R,R,1,2,-15.94,3.68,0.73,2.3,11.12,-135.69,5.46,0.08,20.0,32.16,82.6,1684,6.5,Changeup,214,1,6,1,0,X,2024
FF,2024-04-01,94.6,2.11,50.1,6.01,554430,500006,,ball,14,L,R,0,1,-6.19,14.93,-1.3,2.89,7.97,-129.04,-2.47,0.03,20.0,32.1,89.9,2411,6.2,4-Seam Fastball,202,2,1,1,2,B,2024
CU,2024-04-01,78.2,2.11,49.62,5.83,554430,500007,,ball,7,R,R,0,1,7.87,-10.54,0.27,2.12,1.66,-144.62,10.28,-0.04,20.0,32.22,74.3,2707,5.8,Curveball,14,2,2,1,0,B,2024
CH,2024-04-01,88.8,1.96,50.24,5.74,554430,500008,,called_strike,12,L,R,1,1,-15.08,3.19,-0.67,4.1,6.58,-117.23,4.54,0.07,20.0,32.16,84.3,1730,6.2,Changeup,223,2,3,1,0,S,2024
CU,2024-04-01,78.1,1.96,50.07,5.89,554430,500009,,foul_tip,12,R,R,2,0,6.46,-9.03,1.93,2.38,1.21,-103.3,6.7,-0.03,20.0,32.22,74.2,2744,6.2,Curveball,48,2,4,1,1,S,2024
FF,2024-04-01,96.6,2.41,50.3,5.99,554430,500010,force_out,hit_into_play,2,L,R,2,1,-7.17,14.91,-0.48,2.96,-4.7,-138.97,-4.77,0.03,20.0,32.1,91.8,2318,6.2,4-Seam Fastball,208,2,5,1,2,X,2024
FF,2024-04-01,97.8,2.34,50.06,5.79,554430,500011,,ball,12,R,R,2,0,-8.94,15.56,1.0,3.01,0.7,-134.44,-5.87,0.04,20.0,32.1,92.9,2351,6.3,4-Seam Fastball,235,3,1,1,0,B,2024
FF,2024-04-01,94.0,2.17,50.61,5.88,554430,500012,,ball,8,L,R,2,2,-9.01,16.59,-0.28,3.04,5.53,-125.27,-1.63,0.04,20.0,32.09,89.3,2235,6.0,4-Seam Fastball,214,3,2,1,1,B,2024
FF,2024-04-01,95.6,2.38,50.76,5.83,554430,500013,,ball,12,L,R,3,2,-6.74,14.44,-0.84,2.39,-5.51,-120.84,5.75,0.03,20.0,32.1,90.8,2329,6.1,4-Seam Fastball,214,3,3,1,0,B,2024
FF,2024-04-01,93.3,2.02,49.91,5.84,554430,500014,,foul,13,R,R,3,2,-7.36,15.34,-0.88,3.39,-2.18,-139.45,-3.92,0.04,20.0,32.1,88.7,2372,6.5,4-Seam Fastball,206,3,4,1,0,S,2024
FF,2024-04-01,96.1,2.22,49.53,6.01,554430,500015,,foul,5,L,R,0,2,-7.35,13.24,-0.36,2.54,-4.18,-135.56,5.5,0.04,20.0,32.11,91.3,2394,6.0,4-Seam Fastball,225,3,5,1,2,S,2024
SL,2024-04-01,81.8,1.89,49.58,5.79,554430,500016,,foul,13,L,R,0,1,-0.71,3.7,1.69,2.17,12.87,-131.87,-7.23,0.0,20.0,32.16,77.7,2736,6.1,Slider,53,3,6,1,2,S,2024
FF,2024-04-01,95.2,2.09,50.28,5.92,554430,500017,,foul,13,R,R,0,0,-4.09,18.04,0.94,3.17,-6.09,-141.9,1.53,0.02,20.0,32.09,90.4,2315,6.2,4-Seam Fastball,205,3,7,1,0,S,2024
CU,2024-04-01,79.3,2.02,50.12,6.03,554430,500018,,ball,7,L,R,2,1,4.6,-7.28,-0.29,3.22,0.51,-130.23,-1.17,-0.02,20.0,32.21,75.3,2551,6.2,Curveball,52,3,8,1,2,B,2024
SI,2024-04-01,95.6,2.21,50.08,5.94,554430,500019,,ball,11,L,R,1,2,-17.98,11.76,-0.04,3.51,-7.11,-133.25,-0.29,0.09,20.0,32.12,90.8,2187,6.0,Sinker,212,4,1,1,1,B,2024
SL,2024-04-01,81.7,1.9,50.2,5.76,554430,500020,,called_strike,8,R,R,2,1,-1.68,0.46,0.57,1.85,-5.6,-130.59,2.31,0.01,20.0,32.17,77.7,2705,6.3,Slider,61,4,2,1,1,S,2024
SL,2024-04-01,84.7,2.24,49.48,5.73,554430,500021,,called_strike,14,R,R,0,0,1.46,3.79,-0.88,1.97,-9.45,-122.65,-0.08,-0.01,20.0,32.16,80.5,2674,6.2,Slider,59,4,3,1,1,S,2024
FF,2024-04-01,96.6,2.5,50.04,6.0,554430,500022,,called_strike,6,L,R,0,2,-6.69,14.62,0.11,2.75,-1.57,-124.57,2.71,0.03,20.0,32.1,91.8,2274,6.7,4-Seam Fastball,205,4,4,1,1,S,2024
SL,2024-04-01,86.2,2.04,50.29,5.88,554430,500023,,ball,11,R,R,1,1,-0.35,4.47,-1.38,2.22,5.24,-110.85,-6.47,0.0,20.0,32.15,81.9,2521,6.1,Slider,58,4,5,1,1,B,2024
FF,2024-04-01,96.7,2.16,50.37,5.79,554430,500024,grounded_into_double_play,hit_into_play,4,L,R,2,1,-6.04,15.42,0.16,3.04,-8.2,-119.86,-5.37,0.03,20.0,32.1,91.9,2423,6.2,4-Seam Fastball,219,4,6,1,1,X,2024
SL,2024-04-01,81.8,1.95,50.42,5.73,554430,500025,,called_strike,7,R,R,1,0,-0.28,4.74,0.02,2.11,1.02,-117.66,-0.8,0.0,20.0,32.15,77.7,2692,6.4,Slider,68,5,1,1,0,S,2024
SL,2024-04-01,85.0,2.17,49.74,5.68,554430,500026,,foul,6,R,R,0,0,-0.49,0.3,0.55,1.92,-4.24,-111.35,-12.32,0.0,20.0,32.17,80.8,2853,6.3,Slider,35,5,2,1,0,S,2024
SI,2024-04-01,97.6,2.18,49.78,5.97,554430,500027,,called_strike,12,L,R,0,0,-12.98,8.77,-1.0,1.56,-1.82,-115.76,-0.75,0.06,20.0,32.13,92.7,2085,6.5,Sinker,226,5,3,1,0,S,2024
SL,2024-04-01,83.7,2.15,50.44,5.72,554430,500028,,ball,9,R,R,1,2,-0.01,-0.23,0.46,2.47,-3.85,-124.07,0.37,0.0,20.0,32.18,79.6,2593,6.5,Slider,54,5,4,1,1,B,2024
SL,2024-04-01,85.3,2.31,49.87,5.76,554430,500029,,ball,13,L,R,1,0,2.86,1.01,0.88,2.27,5.38,-145.11,2.64,-0.01,20.0,32.17,81.0,2623,6.2,Slider,55,5,5,1,1,B,2024
FF,2024-04-01,97.0,1.95,50.35,5.93,554430,500030,,ball,1,R,R,1,2,-5.49,16.72,0.65,2.53,-2.68,-139.19,0.55,0.03,20.0,32.09,92.1,2416,6.4,4-Seam Fastball,204,5,6,1,1,B,2024
SL,2024-04-01,85.6,2.17,49.89,5.79,554430,500031,,foul,9,L,R,1,0,2.94,4.99,0.27,2.7,-7.35,-128.93,-5.73,-0.01,20.0,32.15,81.3,2813,6.3,Slider,66,5,7,1,1,S,2024
CH,2024-04-01,88.6,2.27,49.92,5.78,554430,500032,,ball,1,R,R,1,0,-13.93,5.45,-0.31,2.88,-5.54,-125.0,0.2,0.07,20.0,32.15,84.2,1717,6.0,Changeup,236,5,8,1,0,B,2024
FF,2024-04-01,96.2,2.26,49.55,5.85,554430,500033,field_out,hit_into_play,11,R,R,0,0,-6.09,16.27,-2.75,2.66,-5.2,-125.17,-3.33,0.03,20.0,32.1,91.4,2434,6.1,4-Seam Fastball,192,6,1,1,0,X,2024
SL,2024-04-01,86.5,2.14,50.2,5.77,554430,500034,,foul,13,R,R,1,2,1.78,1.3,1.93,1.68,0.77,-115.06,-10.37,-0.01,20.0,32.17,82.2,2758,5.7,Slider,26,7,1,2,1,S,2024
CU,2024-04-01,79.5,1.85,50.06,5.93,554430,500035,grounded_into_double_play,hit_into_play,3,R,R,2,2,4.71,-8.72,0.71,2.72,-0.32,-131.59,2.64,-0.02,20.0,32.22,75.6,2956,6.2,Curveball,38,7,2,2,1,X,2024
SI,2024-04-01,95.5,2.0,50.32,5.99,554430,500036,,foul,6,R,R,2,0,-15.7,9.6,-0.11,2.18,10.86,-140.12,-4.35,0.08,20.0,32.13,90.7,2131,6.1,Sinker,243,8,1,2,1,S,2024
FF,2024-04-01,95.4,2.33,50.02,5.98,554430,500037,,foul,11,L,R,0,0,-10.25,14.59,0.81,1.35,-3.27,-124.83,4.58,0.05,20.0,32.1,90.7,2412,6.1,4-Seam Fastball,205,8,2,2,1,S,2024
FF,2024-04-01,97.2,2.59,49.94,5.97,554430,500038,,called_strike,4,R,R,3,0,-7.23,13.94,0.04,2.38,3.1,-122.36,-5.19,0.03,20.0,32.11,92.4,2460,6.1,4-Seam Fastball,201,8,3,2,1,S,2024
SI,2024-04-01,94.7,2.35,49.56,5.97,554430,500039,,foul,14,R,R,2,1,-16.46,8.68,-1.25,3.39,-1.37,-122.42,-2.06,0.08,20.0,32.13,89.9,2226,6.2,Sinker,240,8,4,2,1,S,2024
FF,2024-04-01,95.3,2.15,50.03,5.83,554430,500040,,ball,11,R,R,2,1,-8.13,14.76,0.88,1.74,-6.45,-126.3,6.7,0.04,20.0,32.1,90.5,2435,6.0,4-Seam Fastball,211,8,5,2,0,B,2024
SI,2024-04-01,94.5,2.17,49.82,5.9,554430,500041,,ball,1,R,R,1,1,-18.45,4.94,0.77,3.1,-1.61,-141.26,4.32,0.09,20.0,32.15,89.8,2240,6.2,Sinker,227,8,6,2,0,B,2024
FF,2024-04-01,97.3,2.03,50.03,5.89,554430,500042,,foul,13,L,R,1,0,-8.46,16.46,-0.86,3.8,-2.22,-133.45,-1.69,0.04,20.0,32.09,92.4,2303,5.9,4-Seam Fastball,204,8,7,2,0,S,2024
CU,2024-04-01,77.8,2.22,50.42,5.76,554430,500043,,foul,12,L,R,2,1,3.14,-5.82,-1.07,2.3,1.15,-154.41,2.09,-0.02,20.0,32.2,74.0,2798,6.0,Curveball,34,8,8,2,0,S,2024
CU,2024-04-01,79.7,1.86,49.49,6.04,554430,500044,single,hit_into_play,7,L,R,0,0,4.53,-8.56,0.19,2.54,-2.41,-134.59,-2.94,-0.02,20.0,32.22,75.7,2903,6.0,Curveball,5,9,1,2,2,X,2024
