pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,pitcher,batter,events,description,zone,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name,spin_axis,at_bat_number,pitch_number,inning,outs_when_up,type,season
FF,2015-04-01,95.7,2.47,50.27,5.83,554430,500000,,foul,13,R,R,0,0,-8.27,13.68,0.04,1.36,-6.42,-131.63,-6.22,0.04,20.0,32.11,90.9,2366,6.2,4-Seam Fastball,198,1,1,1,2,S,2015
CU,2015-04-01,77.1,1.93,49.69,5.92,554430,500001,,ball,11,R,R,1,0,3.91,-9.43,-0.92,1.44,1.21,-102.49,-3.32,-0.02,20.0,32.22,73.2,2702,6.3,Curveball,60,1,2,1,1,B,2015
FF,2015-04-01,94.5,2.24,49.54,5.8,554430,500002,field_out,hit_into_play,2,L,R,0,0,-7.49,15.19,-0.43,2.8,2.04,-132.53,5.52,0.04,20.0,32.1,89.8,2472,6.3,4-Seam Fastball,209,1,3,1,0,X,2015
CU,2015-04-01,78.5,2.07,49.8,5.9,554430,500003,,foul,14,L,R,2,2,4.29,-8.55,-0.86,1.67,-4.72,-136.86,0.57,-0.02,20.0,32.22,74.6,2840,6.3,Curveball,8,2,1,1,1,S,2015
FF,2015-04-01,94.7,2.05,50.18,6.0,554430,500004,field_out,hit_into_play,8,R,R,0,2,-5.93,16.59,0.35,2.4,2.13,-149.13,-0.86,0.03,20.0,32.09,90.0,2283,6.1,4-Seam Fastball,219,2,2,1,1,X,2015
FF,2015-04-01,95.1,2.26,50.0,6.03,554430,500005,,called_strike,9,R,R,0,2,-6.19,13.94,0.39,2.61,2.15,-142.28,4.17,0.03,20.0,32.11,90.4,2364,6.4,4-Seam Fastball,209,3,1,1,2,S,2015
SL,2015-04-01,86.1,1.96,50.06,5.73,554430,500006,,called_strike,1,R,R,3,1,-0.63,2.98,-0.42,2.06,3.8,-138.18,2.7,0.0,20.0,32.16,81.8,2661,6.2,Slider,25,3,2,1,0,S,2015
FF,2015-04-01,94.4,2.24,49.69,5.99,554430,500007,,foul,1,L,R,0,1,-7.69,15.74,-0.13,2.86,-4.6,-157.79,6.44,0.04,20.0,32.1,89.7,2369,6.4,4-Seam Fastball,187,3,3,1,2,S,2015
FF,2015-04-01,97.2,1.9,49.83,5.84,554430,500008,,ball,9,R,R,3,0,-8.09,14.37,-0.07,2.33,-4.35,-129.89,-4.78,0.04,20.0,32.11,92.4,2463,5.9,4-Seam Fastball,222,3,4,1,1,B,2015
FF,2015-04-01,94.8,2.18,49.97,5.72,554430,500009,,called_strike,14,L,R,1,2,-7.57,16.44,1.29,2.57,0.49,-145.46,3.49,0.04,20.0,32.1,90.1,2457,6.2,4-Seam Fastball,211,3,5,1,0,S,2015
SL,2015-04-01,86.0,1.91,50.1,5.7,554430,500010,,called_strike,2,L,R,2,2,3.36,2.68,0.7,2.66,5.63,-132.2,3.27,-0.02,20.0,32.16,81.7,2553,5.9,Slider,59,3,6,1,2,S,2015
FF,2015-04-01,95.9,2.11,49.63,5.91,554430,500011,field_out,hit_into_play,14,L,R,2,1,-6.52,15.89,1.83,2.33,5.87,-115.75,-0.06,0.03,20.0,32.1,91.1,2259,5.8,4-Seam Fastball,199,3,7,1,2,X,2015
FF,2015-04-01,95.4,2.19,49.68,5.98,554430,500012,,called_strike,13,R,R,1,0,-7.38,16.01,-0.87,2.91,5.48,-135.09,1.53,0.04,20.0,32.1,90.6,2342,6.5,4-Seam Fastball,184,4,1,1,0,S,2015
SL,2015-04-01,83.4,2.1,50.23,5.72,554430,500013,,swinging_strike,6,R,R,0,0,3.99,3.83,-0.68,2.33,-4.06,-120.78,1.9,-0.02,20.0,32.16,79.3,2534,6.4,Slider,23,4,2,1,0,S,2015
FF,2015-04-01,94.7,2.35,50.23,5.79,554430,500014,,called_strike,4,L,R,3,2,-7.66,15.21,0.33,1.7,1.89,-141.57,-7.55,0.04,20.0,32.1,90.0,2294,6.4,4-Seam Fastball,208,4,3,1,1,S,2015
